WARNING | 2023-04-19 08:42:34,510 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_terminal_name
WARNING | 2023-04-19 08:42:34,513 | cle.loader | The main binary is a position-independent executable. It is being loaded with a base address of 0x400000.
WARNING | 2023-04-19 08:42:34,516 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
DEBUG   | 2023-04-19 08:42:34,534 | arbiter.master_chief.sa_recon | Creating CFG
Identifying functions:   0%|          | 0/794 [00:00<?, ?it/s]INFO    | 2023-04-19 08:42:40,604 | arbiter.master_chief.sa_recon | Starting recon of 0x406000
INFO    | 2023-04-19 08:42:40,605 | arbiter.master_chief.sa_recon | Starting recon of 0x406020
INFO    | 2023-04-19 08:42:40,605 | arbiter.master_chief.sa_recon | Starting recon of 0x40602c
INFO    | 2023-04-19 08:42:40,605 | arbiter.master_chief.sa_recon | Starting recon of 0x406030
INFO    | 2023-04-19 08:42:40,605 | arbiter.master_chief.sa_recon | Starting recon of 0x406040
INFO    | 2023-04-19 08:42:40,605 | arbiter.master_chief.sa_recon | Starting recon of 0x406050
INFO    | 2023-04-19 08:42:40,605 | arbiter.master_chief.sa_recon | Starting recon of 0x406060
INFO    | 2023-04-19 08:42:40,605 | arbiter.master_chief.sa_recon | Starting recon of 0x406070
INFO    | 2023-04-19 08:42:40,605 | arbiter.master_chief.sa_recon | Starting recon of 0x406080
INFO    | 2023-04-19 08:42:40,605 | arbiter.master_chief.sa_recon | Starting recon of 0x406090
INFO    | 2023-04-19 08:42:40,605 | arbiter.master_chief.sa_recon | Starting recon of 0x4060a0
INFO    | 2023-04-19 08:42:40,605 | arbiter.master_chief.sa_recon | Starting recon of 0x4060b0
INFO    | 2023-04-19 08:42:40,605 | arbiter.master_chief.sa_recon | Starting recon of 0x4060c0
INFO    | 2023-04-19 08:42:40,606 | arbiter.master_chief.sa_recon | Starting recon of 0x4060d0
INFO    | 2023-04-19 08:42:40,606 | arbiter.master_chief.sa_recon | Starting recon of 0x4060e0
INFO    | 2023-04-19 08:42:40,606 | arbiter.master_chief.sa_recon | Starting recon of 0x4060f0
INFO    | 2023-04-19 08:42:40,606 | arbiter.master_chief.sa_recon | Starting recon of 0x406100
