WARNING | 2023-04-19 01:10:18,495 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: numa_node_of_cpu
WARNING | 2023-04-19 01:10:18,496 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: xalloc_err_handler
WARNING | 2023-04-19 01:10:18,496 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: numa_max_node
WARNING | 2023-04-19 01:10:18,496 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: kb_main_buffers
WARNING | 2023-04-19 01:10:18,496 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: kb_main_available
WARNING | 2023-04-19 01:10:18,496 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: kb_swap_used
WARNING | 2023-04-19 01:10:18,496 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: cur_term
WARNING | 2023-04-19 01:10:18,496 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: kb_main_cached
WARNING | 2023-04-19 01:10:18,496 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: kb_main_used
WARNING | 2023-04-19 01:10:18,496 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: page_bytes
WARNING | 2023-04-19 01:10:18,496 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: kb_swap_free
WARNING | 2023-04-19 01:10:18,496 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: kb_main_free
WARNING | 2023-04-19 01:10:18,496 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: kb_swap_total
WARNING | 2023-04-19 01:10:18,496 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: smp_num_cpus
WARNING | 2023-04-19 01:10:18,496 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: Hertz
WARNING | 2023-04-19 01:10:18,496 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: kb_main_total
WARNING | 2023-04-19 01:10:18,499 | cle.loader | The main binary is a position-independent executable. It is being loaded with a base address of 0x400000.
WARNING | 2023-04-19 01:10:18,500 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
DEBUG   | 2023-04-19 01:10:18,519 | arbiter.master_chief.sa_recon | Creating CFG
Identifying functions:   0%|          | 0/1092 [00:00<?, ?it/s]INFO    | 2023-04-19 01:10:25,431 | arbiter.master_chief.sa_recon | Starting recon of 0x404000
INFO    | 2023-04-19 01:10:25,431 | arbiter.master_chief.sa_recon | Starting recon of 0x404020
INFO    | 2023-04-19 01:10:25,431 | arbiter.master_chief.sa_recon | Starting recon of 0x40402d
INFO    | 2023-04-19 01:10:25,431 | arbiter.master_chief.sa_recon | Starting recon of 0x404030
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x40403f
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x404040
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x40404f
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x404050
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x40405f
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x404060
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x40406f
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x404070
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x40407f
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x404080
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x40408f
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x404090
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x40409f
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x4040a0
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x4040af
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x4040b0
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x4040bf
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x4040c0
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x4040cf
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x4040d0
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x4040df
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x4040e0
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x4040ef
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x4040f0
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x4040ff
INFO    | 2023-04-19 01:10:25,432 | arbiter.master_chief.sa_recon | Starting recon of 0x404100
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x40410f
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x404110
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x40411f
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x404120
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x40412f
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x404130
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x40413f
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x404140
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x40414f
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x404150
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x40415f
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x404160
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x40416f
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x404170
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x40417f
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x404180
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x40418f
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x404190
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x40419f
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x4041a0
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x4041af
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x4041b0
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x4041bf
INFO    | 2023-04-19 01:10:25,433 | arbiter.master_chief.sa_recon | Starting recon of 0x4041c0
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x4041cf
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x4041d0
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x4041df
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x4041e0
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x4041ef
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x4041f0
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x4041ff
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x404200
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x40420f
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x404210
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x40421f
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x404220
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x40422f
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x404230
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x40423f
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x404240
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x40424f
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x404250
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x40425f
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x404260
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x40426f
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x404270
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x40427f
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x404280
INFO    | 2023-04-19 01:10:25,434 | arbiter.master_chief.sa_recon | Starting recon of 0x40428f
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x404290
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x40429f
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x4042a0
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x4042af
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x4042b0
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x4042bf
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x4042c0
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x4042cf
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x4042d0
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x4042df
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x4042e0
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x4042ef
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x4042f0
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x4042ff
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x404300
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x40430f
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x404310
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x40431f
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x404320
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x40432f
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x404330
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x40433f
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x404340
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x40434f
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x404350
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x40435f
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x404360
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x40436f
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x404370
INFO    | 2023-04-19 01:10:25,435 | arbiter.master_chief.sa_recon | Starting recon of 0x40437f
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x404380
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x40438f
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x404390
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x40439f
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x4043a0
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x4043af
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x4043b0
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x4043bf
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x4043c0
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x4043cf
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x4043d0
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x4043df
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x4043e0
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x4043ef
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x4043f0
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x4043ff
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x404400
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x40440f
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x404410
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x40441f
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x404420
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x40442f
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x404430
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x40443f
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x404440
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x40444f
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x404450
INFO    | 2023-04-19 01:10:25,436 | arbiter.master_chief.sa_recon | Starting recon of 0x40445f
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x404460
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x40446f
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x404470
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x40447f
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x404480
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x40448f
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x404490
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x40449f
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x4044a0
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x4044af
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x4044b0
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x4044bf
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x4044c0
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x4044cf
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x4044d0
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x4044df
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x4044e0
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x4044ef
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x4044f0
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x4044ff
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x404500
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x40450f
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x404510
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x40451f
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x404520
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x40452f
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x404530
INFO    | 2023-04-19 01:10:25,437 | arbiter.master_chief.sa_recon | Starting recon of 0x40453f
INFO    | 2023-04-19 01:10:25,438 | arbiter.master_chief.sa_recon | Starting recon of 0x404540
INFO    | 2023-04-19 01:10:25,438 | arbiter.master_chief.sa_recon | Starting recon of 0x40454f
