WARNING | 2023-04-18 17:27:38,698 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: _libc_intl_domainname
WARNING | 2023-04-18 17:27:38,700 | cle.loader | The main binary is a position-independent executable. It is being loaded with a base address of 0x400000.
WARNING | 2023-04-18 17:27:38,700 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
DEBUG   | 2023-04-18 17:27:38,706 | arbiter.master_chief.sa_recon | Creating CFG
Identifying functions:   0%|          | 0/530 [00:00<?, ?it/s]INFO    | 2023-04-18 17:27:39,343 | arbiter.master_chief.sa_recon | Starting recon of 0x403000
INFO    | 2023-04-18 17:27:39,343 | arbiter.master_chief.sa_recon | Starting recon of 0x403020
INFO    | 2023-04-18 17:27:39,343 | arbiter.master_chief.sa_recon | Starting recon of 0x40302d
INFO    | 2023-04-18 17:27:39,343 | arbiter.master_chief.sa_recon | Starting recon of 0x403030
INFO    | 2023-04-18 17:27:39,343 | arbiter.master_chief.sa_recon | Starting recon of 0x40303f
INFO    | 2023-04-18 17:27:39,344 | arbiter.master_chief.sa_recon | Starting recon of 0x403040
INFO    | 2023-04-18 17:27:39,344 | arbiter.master_chief.sa_recon | Starting recon of 0x40304f
INFO    | 2023-04-18 17:27:39,344 | arbiter.master_chief.sa_recon | Starting recon of 0x403050
INFO    | 2023-04-18 17:27:39,344 | arbiter.master_chief.sa_recon | Starting recon of 0x40305f
INFO    | 2023-04-18 17:27:39,344 | arbiter.master_chief.sa_recon | Starting recon of 0x403060
INFO    | 2023-04-18 17:27:39,344 | arbiter.master_chief.sa_recon | Starting recon of 0x40306f
INFO    | 2023-04-18 17:27:39,344 | arbiter.master_chief.sa_recon | Starting recon of 0x403070
INFO    | 2023-04-18 17:27:39,344 | arbiter.master_chief.sa_recon | Starting recon of 0x40307f
INFO    | 2023-04-18 17:27:39,344 | arbiter.master_chief.sa_recon | Starting recon of 0x403080
INFO    | 2023-04-18 17:27:39,344 | arbiter.master_chief.sa_recon | Starting recon of 0x40308f
INFO    | 2023-04-18 17:27:39,344 | arbiter.master_chief.sa_recon | Starting recon of 0x403090
INFO    | 2023-04-18 17:27:39,344 | arbiter.master_chief.sa_recon | Starting recon of 0x40309f
INFO    | 2023-04-18 17:27:39,344 | arbiter.master_chief.sa_recon | Starting recon of 0x4030a0
INFO    | 2023-04-18 17:27:39,344 | arbiter.master_chief.sa_recon | Starting recon of 0x4030af
INFO    | 2023-04-18 17:27:39,344 | arbiter.master_chief.sa_recon | Starting recon of 0x4030b0
INFO    | 2023-04-18 17:27:39,345 | arbiter.master_chief.sa_recon | Starting recon of 0x4030bf
INFO    | 2023-04-18 17:27:39,345 | arbiter.master_chief.sa_recon | Starting recon of 0x4030c0
INFO    | 2023-04-18 17:27:39,345 | arbiter.master_chief.sa_recon | Starting recon of 0x4030cf
